"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"123","Asociación Civil Organismo No Gubernamental En Desarrollo, El Buen Sembrador","Cajamarca","Jaen","Jaen","Estela Huerta,  Aquior","Mujer y Poblaciones Vulnerables/Agricultura y Riego/Economía y Finanzas/"
"124","Asociación Civil Organismo No Gubernamental Movimiento De Apoyo Social Y Desarrollo En El Peru","Lambayeque","Chiclayo","Chiclayo","Davila Valladares,  Maria Elena","Mujer y Desarrollo Social/"
"125","Asociación Civil Organizacion No Gubernamental de Cooperacion en Alimentacion, Educacion y Medio Ambiente","Ucayali","Coronel Portillo","Calleria","Hidalgo Rojas,  Ricardo","Mujer y Poblaciones Vulnerables/ Producción/"
"126","Asociación Civil Pachamama Raymi, Aprender de los Mejores","Cusco","Cusco","Cusco","Matthijs Van Immerzeel,  Willem Hendrik","Agricultura/Educación/Mujer y Desarrollo Social/Salud/PCM/Otros/"
"127","Asociacion Civil para el Desarrollo Integral Nueva Vida","La Libertad","Trujillo","Trujillo","Vilca Alfaro,  Aurea Petronila","Agricultura/Educacion/Mujer y Desarrollo Social/Salud/Energia Y Minas/"
"128","Asociación Civil para el Desarrollo y Asistencia Humanitaria Amor en Acción","La Libertad","Trujillo","Trujillo","Artidoro Alvan Carranza,  Cesar Atilio","Mujer y Desarrollo Social/"
"129","Asociacion Civil Para El Progreso Y Desarrollo","La Libertad","Chepen","Chepen","Medina Padilla,  Saul","Mujer y Desarrollo Social/Salud/"
"130","Asociación Civil para la Gestión del Agua en Cuencas","Lima","Lima","Jesus Maria","Tenorio Calderon,  Federico Bernardo","Salud/"
"131","Asociación Civil para la Investigación y el Desarrollo Forestal - ADEFOR                                                       ","Cajamarca","Cajamarca","Cajamarca","Flores Tapia,  Florencio Aurelio","Agricultura/Industria/"
"","","","","","Vaca Marquina,  Segundo Primitivo",""
"132","Asociación Civil para la Mitigación de Impactos de Cambio Climático - MICACLI","Junín","Huancayo","Huancayo","Limache Alonzo,  Aparicio","Agricultura/Mujer y Desarrollo Social/"
"133","Asociación Civil para la Preservación y el Desarrollo Sostenible de la Amazonía","Lima","Lima","Miraflores","Alvan Valdeiglesias,  Maria Antonieta","Agricultura/Turismo/"
"134","Asociación Civil Planta Tu Futuro","Lima","Lima","Miraflores","Henman,  Jennifer Elizabeth","Producción/Ambiente/"
"","","","","","Vasquez Alva,  Julio Wagner",""
"135","Asociacion Civil por la Salud, la Educación y el Trabajo","Lima","Lima","Pueblo Libre","Noriega Adrianzen,  Jaime Javier","Agricultura/Educacion/Energia Y Minas/Mujer Y Desarrollo Social/"
"136","Asociacion Civil por la Salud, la Educacion y el Trabajo Los Hijos del Sol","Lima","Lima","San Isidro","Ortiz Alvarado,  Leonardo Miguel","Educación/Otros/"
"137","Asociación Civil Promotora del Centro Cultural Intelligent Plus","La Libertad","Trujillo","Trujillo","Anaya Otiniano,  Julia Rosa","Educación/"
"138","Asociacion Civil Prorural","Lima","Lima","San Isidro","Bauman Samanez,  David Kurt","Educación/"
"139","Asociación Civil Proyecto Amazonas","Loreto","Maynas","Iquitos","Velasquez Rios,  Hildebrando","Agricultura/Educación/Salud/Trabajo Y Promoción Social/Otros/"
"140","Asociación Civil Puririsun","Cusco","Cusco","Santiago","Cabrera Huaman,  Sergio Adolfo","Educación/Mujer y Desarrollo Social/"
"141","Asociación Civil Religiosa Diospi Suyana","Apurimac","Abancay","Curahuasi","Dieter John,  Klaus","Educación/Salud/"
"142","Asociación Civil Religiosa San Andrés Solidaridad y Desarrollo","Ancash","Santa","Nuevo Chimbote","Pulido Huaranga,  Andres","Mujer y Poblaciones Vulnerables/Trabajo y Promoción del Empleo/"
"","","","","","Angeles Gonzales,  Gilmer",""
"143","Asociacion Civil Renacer Ganadero","Tacna","Tacna","Tacna","Ordoñez Rodriguez,  Jose Alberto","Mujer y Poblaciones Vulnerables/Agricultura Y Riego/"
"144","Asociacion Civil Santa Ana","Lambayeque","Chiclayo","Jose Leonardo Ortiz","Salas Montenegro,  Juan Victor","Educación/Mujer y Desarrollo Social/"
