"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"159","Asociación contra la Pobreza del Niño y Adolescente","Lima","Lima","Lima","Ramos Aguilar,  Nely Del Pilar","Educacion/Mujer Y Desarrollo Social/Salud/Otros/"
"160","Asociación Corazón de La Amazonía Nii Juinti","Ucayali","Coronel Portillo","Calleria","Lopez Ramos,  Roger Daniel","Cultura/"
"","","","","","Davila Saldaña,  Ciro Arturo",""
"161","Asociación Creando Sueños","Lima","Lima","Barranco","Diminich Paredes,  Ana Paola"," Mujer Y Poblaciones Vulnerables/Educacion/"
"162","Asociación Cristiana Erkhetai","Ica","Pisco","Tupac Amaru Inca","Villaverde De La Cruz,  Diano Teófilo","Educacion/Mujer y Desarrollo Social/Trabajo y Promoción Social/PCM/"
"163","Asociación Cristiana Evangelica para el Desarrollo                                                                      ","Lima","Lima","Santiago De Surco","Choquehuanca Chinguel,  Maria Teresa","Agricultura/Educacion/Salud/"
"164","Asociación Cristiana Felipe y Jacobo","Lima","Lima","Comas","Morales Miranda,  Jorge Edward","Mujer y Poblaciones Vulnerables/Ambiente/Vivienda, Construcción y Saneamiento/"
"165","Asociación Cuencas Andinas Kiswar","Ayacucho","Huamanga","Ayacucho","Chipana Astucuri,  Zosimo","Agricultura/Mujer y Desarrollo Social/PCM/Otros/"
"166","Asociación Cultural Ad Libitum","Lima","Lima","Lima","Ayala Lozano,  Leonardo Arturo","Cultura/Educación/"
"167","Asociación Cultural Artesano","Cajamarca","Cajamarca","Cajamarca","Chavez Tejada,  Jose Luis","Cultura/"
"168","Asociación Cultural Ayllu Yupaychay","Cusco","Cusco","Cusco","Wimberly Russell,  Laura","Educación/"
"","","","","","Luna Casapino,  Maria Gione",""
"169","Asociación Cultural De Desarrollo Para La Proteccion Del Medio Ambiente","Ucayali","Coronel Portillo","Calleria","Rojas Hidalgo,  Luis Miguel","Agricultura/Industria/"
"170","Asociación Cultural de Emprendedores para un Mundo Sostenible","Huánuco","Ambo","Ambo","Hidalgo Valle,  Soledad","Cultura/ Mujer y Poblaciones Vulnerables/Agricultura y Riego/"
"171","Asociación Cultural Expresion ","Lima","Lima","Pueblo Libre","Camasca Leon,  Cesar Ricardo","Educación/Otros/"
"172","Asociación Cultural Johannes Gutenberg                                                                                  ","Lima","Lima","El Agustino","Poganatz Wuster,  Dirk","Educacion/Mujer y Desarrollo Social/Salud/"
"173","Asociación Cultural para Ayudar a La Niñez - PAN","Lima","Lima","La Molina","Amable Lazon,  Alfredo Eduardo","Educación/"
"174","Asociación Cultural y Educativa Jatun Nani","Lima","Lima","La Molina","Pasco Valladares,  Libia Consuelo","Educación/"
"175","Asociación de Acción Andina","Ayacucho","Huamanga","Ayacucho","Beingolea Ochoa, Maximo,  ","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Otros/"
"176","Asociación de Apoyo a laa Producción Caprina                                                                             ","Lima","Lima","Carabayllo","Nolte Maldonado,  Enrique","Agricultura/"
"177","Asociación de Apoyo y Promocion del Excepcional Yancana Huasy","Lima","Lima","San Juan De Lurigancho","Patron Quispe,  Jose Antonio","Mujer y Desarrollo Social/"
"178","Asociación De Artesan@S De Contumaza ""Arte De Rueca Y Crochet""","Cajamarca","Contumaza","Contumaza","Orbegozo Lavado,  Karina Francisca","Cultura/ Mujer y Poblaciones Vulnerables/"
"179","Asociación de Ayuda Al Niño Quemado ","Lima","Lima","Jesus Maria","Rodriguez Vilca,  Victor Raul","Educacion/Mujer y Desarrollo Social/Salud/"
"180","Asociación de Comunicadores Sociales Calandria                                                                         ","Lima","Lima","Magdalena Del Mar","Castañeda Menacho,  Marisol","Agricultura/Educacion/Salud/ Comunicaciones/"
"","","","","","Pinilla Garcia,  Helena",""
"","","","","","Acurio Caceres,  Tatiana Celia",""
"","","","","","Sandoval Chaupe,  Lourdes Liliana",""
"181","Asociación de Comunidades Agro Industriales y Forestales Bambu - Ucayali","Ucayali","Coronel Portillo","Manatay","Rojas Cordova,  Carlos Higidio","Agricultura/Comercio/Producción/"
"182","Asociación de Comunidades Ashaninka Del Valle Del Pichis, Apatyawaka Nampitzi Ashaninka Pichis","Pasco","Oxapampa","Puerto Bermudez","Zegarra Inginiero,  Jennrri Foor","Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/"
"183","Asociación de Conservación Ecológica Tumbes Silvestre","Tumbes","Tumbes","Tumbes","Echevarria Flores,  Jorge Oswaldo","Agricultura y Riego/Ambiente/"
"184","Asociación de Construccion Civil Multiple Empresarial Y Artesanal De Paita","Piura","Paita","Paita","Ortiz Bances,  Alejandro","Mujer y Desarrollo Social/"
"185","Asociacion de Cooperativas Agrarias de la Amazonía Peruana - Verde Amazónico","San Martín","San Martin","Tarapoto","Flores Garazatua,  George","Mujer y Poblaciones Vulnerables/Agricultura y Riego/"
"186","Asociacion de Defensa y Desarrollo de las Comunidades Andinas del Perú                                                 ","Lima","Lima","Jesus Maria","Gutierrez Perez,  Sergio Cesario","Agricultura/PCM/ Mujer y Poblaciones Vulnerables/Justicia y Derechos Humanos/"
"187","Asociación de Desarrollo Agropecuario y Cuidado del Medio Ambiente ""Tesoro Ecológico""","Huánuco","Huanuco","Huanuco","Rodriguez Chavez,  Augusto","Justicia/PCM/"
"188","Asociación de Desarrollo de Capacidades Locales ","Ica","Ica","Ica","Balbin Cardenas,  Orlando","Agricultura/Educación/Vivienda y Construcción/"
"189","Asociación de Desarrollo de la Educación y la Salud","Lima","Lima","La Molina","Camborda Cruz,  Olga Evangelina","Educación/Salud/"
"190","Asociación de Desarrollo Integral de la Población Jaenense","Cajamarca","Jaen","Jaen","Vargas Requejo,  Sebastian","Mujer y Poblaciones Vulnerables /Ambiente/Justicia y Derechos Humanos/"
"191","Asociación de Desarrollo Minka Tarpuy","Lima","Lima","San Isidro","Montoya Flores,  Cynthia Karina","Agricultura/Mujer y Desarrollo Social/Ambiente/"
"192","Asociación de Desarrollo Social Carpe Diem","Ica","Chincha","Chincha Alta","Meneses Jimenez,  Jose Angel","Agricultura/Educacion/Justicia/Mujer Y Desarrollo Social/Salud/Otros/"
"193","Asociacion de Desarrollo Social Lestonnac","La Libertad","Chepen","Chepen","Flores Cordova,  Andy William","Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/"
"","","","","","Cavero Alarcon,  Luz Natividad",""
"194","Asociación de Desarrollo Socio Ambiental Integral - ADSAI","Lambayeque","Chiclayo","Chiclayo","Odar Salazar,  Lucy Viviana","Agricultura/Educacion/Mujer Y Desarrollo Social/"
"195","Asociación de Directores de Bandas Sinfónicas del Perú","Arequipa","Arequipa","Yanahuara","Miranda Paredes,  Ramiro Antonio","Cultura/ Mujer Y Poblaciones Vulnerables/Educacion/"
"196","Asociación de Enfermos de Tuberculosis Victoria Castillo de Canales-Comas","Lima","Lima","Comas","Pinedo Culqui,  Jose Jesus","Mujer y Desarrollo Social/Salud/"
"197","Asociación de Exportadores","Lima","Lima","San Borja","Villanueva Nehmad,  Javier","Industria/Comercio/"
"","","","","","Varilias Velasquez,  Juan Manuel",""
"198","Asociación de Familias Desplazadas Insertadas en La Provincia de Huanta","Ayacucho","Huanta","Huanta","Hurtado Paredes.,  Vilma","Agricultura/Educacion/Comercio/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Vivienda Y Construccion/Otros/"
"199","Asociación de Fomento e Investigación para el Desarrollo de Cajamarca","Cajamarca","Cajamarca","Cajamarca","Ispilco Ayay,  Fernando"," Mujer Y Poblaciones Vulnerables/Comercio Exterior Y Turismo/Justicia Y Derechos Humanos/"
"200","Asociación de Hogares Nuevo Futuro - Perú","Lima","Lima","Barranco","Matossian Osorio,  Cristina","Educacion/Mujer Y Desarrollo Social/"
"201","Asociación de Ingenieros Ambientales del Perú","Ayacucho","Huamanga","San Juan Bautista","Riveros Alvizuri,  Henry","Ambiente/"
"202","Asociación de Jóvenes Progresistas","La Libertad","Trujillo","Trujillo","Vasquez Contreras,  Maria Jesus","Produccion/Trabajo y Promocion Social/"
"203","Asociacion de la Cultura Italiana Susana Agnelli","Piura","Piura","Castilla","Seminario Ramos,  Fernando Alfonso","Educación/"
"204","Asociación de Madereros y Reforestadores de Curimana","Ucayali","Padre Abad","Curimana","Monteluiz Alcantara,  Blas","Agricultura/Educación/Mujer y Desarrollo Social/"
"205","Asociacion de Personas con Discapacidad ""Santa Barbara""","La Libertad","Trujillo","Trujillo","Perez Cuenca,  Carlos","Mujer y Poblaciones Vulnerables/Justicia y Derechos Humanos/"
"206","Asociación de Productores Agrarios y Madereros Cataratas de Osurco Organismo No Gubernamental de Desarrollo","Cajamarca","Jaen","Jaen","Vargas Loayza,  Felix","Mujer y Poblaciones Vulnerables/Agricultura Y Riego/"
"207","Asociación de Productores Agropecuarios La Monteria","Lambayeque","Chiclayo","Chongoyape","Vera Roalcaba,  Genaro","Educacion/Mujer y Desarrollo Social/Salud/"
"208","Asociación de Productores Cacaoteros y Cafetaleros de Amazonas","Amazonas","Bagua","La Peca","Zulueta Vasquez,  Mario","Agricultura/"
"209","Asociación de Productores e Industriales Forestales de La Provincia de Satipo","Junín","Satipo","Satipo","Alcantara Cedron,  Jose Saul","Agricultura/"
"210","Asociación de Promoción Agraria y Defensa de la Vida                                                                 ","La Libertad","Trujillo","El Porvenir","Nolasco Perez,  Flor De Maria","Agricultura/"
"211","Asociación de Promoción Cultural Ayllu","La Libertad","Trujillo","Trujillo","Neyra Luzuriaga,  Yahan Marco","Agricultura/Educación/"
"212","Asociación de Promoción y Bienestar Familiar                                                                            ","Arequipa","Arequipa","Cerro Colorado","Fuentes Bustinza,  Marianela Amelia","Educación/Mujer y Desarrollo Social/Salud/PCM/"
"213","Asociación de Promoción y Desarrollo Social                                                                             ","Lima","Callao","Callao","Ramirez Mazzetti,  Jesus Susana","Educacion/Industria/Mujer Y Desarrollo Social/Salud/Otros/"
"214","Asociación de Promotores para la Generación de Recursos, Educación y Cultura, Salud, Alimentacion y Cuidado del Medio Ambiente, con Gestión Social Responsable","Lima","Lima","Villa El Salvador","Chevez Solis,  Nelson Wilberto","Otros/"
"215","Asociación de Protección al Ambiente para una America Latina Libre de Contaminación","Ancash","Huaraz","Huaraz","Lopez Palacios,  Alberto","Agricultura/Educación/"
"216","Asociación de Protección de Bosques Comunales Dos de Mayo - Alto Huayabamba","San Martín","Mariscal Caceres","Huicungo","Paredes Del Castillo,  Lino","Ambiente/"
"217","Asociación de Reconversion Técnica para Personas con Discapacidad","Cusco","Cusco","Wanchaq","Pacheco Rozas De Gibaja,  Bertha Olivia","Educación/"
"218","Asociación de Rehabilitación Infantil Angelitos de Dios","Lima","Lima","Carabayllo","Cleonares Laynes,  Karina Guadalupe","Mujer y Desarrollo Social/Trabajo y Promoción Social/Otros/"
"219","Asociación de Servicio Integral de Cooperación Rural Anccara - SICRA                                                                      ","Huancavelica","Angaraes","Lircay","Ravelo Chavez,  Javier Hector","Agricultura/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Otros/"
"220","Asociación de Trabajadores Sociales Benefactores de Servicios Múltiples Las Mercedes","Lima","Lima","Breña","Luque Corimayhua,  Basilio Victor","Mujer Y Desarrollo Social/ Cultura/ Mujer Y Poblaciones Vulnerables/"
"221","Asociación de Yachachiq Solidaridad Colectiva para el Desarrollo","Piura","Piura","Piura","Garcia Garcia,  Gloria","Agricultura/Economía y Finanzas/Salud/"
"222","Asociación Defensa por El Patrimonio Cultural y Humano","Lima","Lima","Lima","Nieto Yacolca,  Natalia Fortunata","Cultura/Educación/"
"223","Asociación del Desarrollo Rural y Humanitario","Huánuco","Huanuco","Huanuco","Medrano Rivera,  Alder","Agricultura/Comercio/Trabajo Y Promoción Social/"
"224","Asociación del Programa de Desarrollo de Tocache Prodesat","San Martín","Tocache","Tocache","Shupingahua Rodriguez,  Mercedes","Mujer y Poblaciones Vulnerables/Educación/"
"225","Asociación Diabet´S Control","Ica","Ica","Ica","Uchuya Campos,  Miguel Carlos","Producción/Salud/"
"","","","","","Valencia Ferreyra,  Carmen Esperanza",""
"226","Asociación Dignidad","La Libertad","Trujillo","Trujillo","Benites Espinoza,  Diego Giulliano","Educacion/Mujer Y Desarrollo Social/Salud/"
"227","Asociación Dignidad Humana y Solidaridad","Lima","Lima","Surquillo","Alvarez Osorio,  Carlos Basilio","Mujer y Desarrollo Social/"
"228","Asociación Dignidad Perú","Loreto","Maynas","San Juan Bautista","Ramirez Davila,  Dora Reyes","Educacion/Salud/Vivienda y Construcción/"
"","","","","","Alegria Reategui,  Carmen Beatriz",""
"229","Asociación Ecológica Sacha Runa","San Martín","San Martin","Sauce","Delgado Arevalo,  Marco Antonio","Agricultura y Riego/Ambiente/"
"230","Asociación Ecológica Titicaca Inti Perú","Puno","Puno","Puno","Asqui Coila,  Javier","Mujer y Poblaciones Vulnerables/Ambiente/Educación/"
"231","Asociación Ecosistemas Andinos","Cusco","Cusco","Wanchaq","Aucca Chutas,  Constantino","Agricultura/"
"","","","","","Ferro Meza,  Gregorio",""
"232","Asociación Educa Pacifico San Felipe","Lima","Lima","Comas","Suclly Amanqui,  Daniel Leonidas","Mujer y Desarrollo Social/ Cultura/Educacion/"
"233","Asociación Educación para el Desarrollo Amazónico ","Loreto","Alto Amazonas","Yurimaguas","Hefti Schieeg,  Thomas","Educacion/"
"234","Asociación Educativa Informatica para el Desarrollo","Lima","Lima","Lima","Menacho Pierola,  Maria Cecilia","Mujer y Desarrollo Social/Trabajo Y Promocion Social/"
"235","Asociación Educativa Margery Gulliver","Junín","Huancayo","El Tambo","Martinez Reynaga De Caisahuana,  Marta","Educacion/Mujer y Desarrollo Social/"
"236","Asociación Educativa Wiñaypaq","Cusco","Calca","Taray","Del Rio Merino,  Alonso Hernando Alvaro","Agricultura/Educación/"
"237","Asociación Ejecutor de Contrato de Administración de Reserva Comunal Machiguenga","Cusco","La Convencion","Santa Ana","Kaibi Omenki,  Jose Alberto","Agricultura/Mujer y Desarrollo Social/"
"238","Asociación Emmanuel                                                                                                     ","Lima","Lima","Jesus Maria","Sakoda Shinyashiki,  Luis Tamotsu","Educacion/Mujer y Desarrollo Social/Salud/Otros/"
"239","Asociación Empresarios por la Educación","Lima","Lima","Miraflores","Morales Dasso,  Jose Miguel","Educacion/"
"240","Asociación Especializada para el Desarrollo Sostenible","Arequipa","Arequipa","Arequipa","Alegria Galarreta,  Julio Fernando","Industria/Salud/PCM/"
"241","Asociación Esperanza, Agua y Vida","Lima","Lima","Jesus Maria","Robles Sanchez,  Paula Rosa","Agricultura/Educacion/Vivienda Y Construccion/"
"242","Asociación Evangelica de Cooperación Manos Unidas - ASECOMU","Lima","Huaral","Chancay","Mata,  Julio Cesar"," Cultura/ Mujer y Poblaciones Vulnerables/Ambiente/Presidencia Del Consejo de Ministros/Salud/"
"243","Asociación Familia Sana","Cajamarca","Cajamarca","Cajamarca","Castañeda Gamarra,  Rosa Amalia","Educacion/Mujer y Desarrollo Social/Salud/Otros/"
"","","","","","Rodriguez Villa,  Jose Hildebrando",""
"244","Asociacion Fe y Alegría del Perú","Lima","Lima","Jesus Maria","Quiros Piñeyro,  Luis Javier","Cultura/ Mujer y Poblaciones Vulnerables/Educación/"
"245","Asociación Fomento y Promoción para el Desarrollo Andino - FODESA                                                                          ","Junín","Tarma","Tarma","Egoavil Ramos,  Justo Modesto","Agricultura/Educación/"
"246","Asociación Franco Peruana de Fomento al Desarrollo Arequipa","Arequipa","Arequipa","Socabaya","Meza Riquelme,  Mauricio Jorge Serafin","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo y Promocion Social/PCM/Otros/"
"247","Asociación Generadora de Actividades Productivas y el Bienestar Familiar del Perú","Lima","Lima","Jesus Maria","Alvarez Leon,  Augusto Jesus","Mujer y Poblaciones Vulnerables/Educación/"
"","","","","","Horna Cespedes,  Carla Del Rosario",""
"248","Asociación Gestionaria de Proyectos Sociales del Perú","Lima","Lima","San Isidro","Moreno Trullen,  Ernesto Manuel","Otros/"
"249","Asociación Giuseppe Antonio Mungi Armitano","Lima","Lima","Barranco","Duarte Mungi,  Raul"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"250","Asociación Grupo de Trabajo Redes","Lima","Lima","Miraflores","Figueroa Galup,  Blanca Rosa","Educacion/Mujer Y Desarrollo Social/Salud/"
"251","Asociación Grupos Sanguineos Negativos","La Libertad","Trujillo","Trujillo","Pala Robles,  Peggy","Salud/"
"252","Asociación Holanda","Cajamarca","Cajamarca","Cajamarca","Heijster,  Petrus Adrianus Maria","Mujer y Poblaciones Vulnerables/Trabajo y Promoción del Empleo/"
"253","Asociación Huampumayo","Pasco","Oxapampa","Oxapampa","Diez Canseco,  Claudio Mosi","Ambiente/Trabajo Y Promoción del Empleo/"
"254","Asociación Illariy para el Desarrollo de la Región, ASIDER","Cusco","Canchis","Sicuani","Quispe Huayhua,  Hilda","Agricultura/Trabajo y Promocion Social/"
"255","Asociación Indígena Fuerza y Coraje para el Desarrollo de Nuestras Comunidades","Junín","Huancayo","El Tambo","Vilca Morales,  Lud Isabel","Mujer y Desarrollo Social/"
"256","Asociación Iniciativa para el Desarrollo","Lima","Lima","San Borja","Olavarria Morante,  Pedro Antonio","Mujer y Desarrollo Social/PCM/"
"257","Asociación Inmaculado Corazón de María","Ancash","Santa","Chimbote","Marquez Malaga,  Carla Patricia","Educacion/Mujer Y Desarrollo Social/Salud/"
"258","Asociación Instituto de Vigilancia Especializada en Oftalmología - ONG´D","Ica","Ica","Ica","Yonz Buendia,  Yessabell Sonia","Educacion/Salud/"
"259","Asociación Integral la Aurora de Paracas","Ica","Pisco","San Andres","Calle Rodriguez,  Maximiliano","Agricultura/Mujer Y Desarrollo Social/Salud/"
"260","Asociación Integral para el Desarrollo del País (ASIDEP)","Cajamarca","Cajamarca","Cajamarca","Llamoctanta Espinoza,  Segundo Alamiro","Mujer y Desarrollo Social/"
"261","Asociación Integratorias Humanitarias de Desarrollo","Lima","Lima","Pueblo Libre","Meza Carrasco,  Favio Gumercindo","Mujer y Poblaciones Vulnerables/Educación/"
"262","Asociación Interdenominacional para el Desarrollo Integral de Apurímac","Apurimac","Abancay","Abancay","Cervantes Villegas,  Luis Hernan","Educación/"
"263","Asociación Interetnica de Desarrollo de La Selva Peruana          ","Lima","Lima","La Victoria","Rengifo Hualinga,  Henderson","Agricultura/Educacion/Salud/Trabajo y Promocion Social/PCM/"
